,District_Name,Type,latitude,longitude
1797,praha 8,school,50.1311561579432,14.475751356079487
1798,praha 8,school,50.12408509325409,14.482830973051145
1810,praha 6,school,50.069548760199666,14.304618781147258
1816,praha 5,school,50.05509336280192,14.35392597573418
1819,praha 6,school,50.10524090536094,14.387311781839763
1820,praha 5,school,50.06784480598999,14.402196610018095
1826,praha 10,school,50.03500357617299,14.560499860667118
1832,praha 4,school,50.02806975021634,14.515441579865634
1835,praha 4,school,50.026728710773995,14.527814469127339
1836,praha 1,school,50.08938497919664,14.424319695279417
1838,praha 6,school,50.08397556174628,14.366073755900509
1840,praha 4,school,50.05952846523125,14.441836808298598
1841,praha 1,school,50.0843807082925,14.421467869842388
1843,praha 9,school,50.125706280830144,14.506286757632182
1847,praha 4,school,50.04992062003006,14.453554206359277
1848,praha 4,school,50.04992062003006,14.453554206359277
1853,praha 10,school,50.03500357617299,14.560499860667118
1855,praha 4,school,50.005968017526,14.45609001454152
1861,praha 5,educatioanal center,50.043291968896185,14.32382234655752
1875,praha 5,school,49.98542674712926,14.356826613364976
1884,praha 9,school,50.09029492284608,14.513417993017775
1889,praha 5,school,50.05052367138898,14.31230263855349
1895,praha 4,school,50.03951343435862,14.432912420047462
1897,praha 5,school,50.05986627921401,14.393765357752937
1901,praha 10,school,50.07118647792722,14.452380199001679
1910,praha 6,school,50.08280737440136,14.357072141698808
1928,praha 4,school,50.043011752149596,14.44728341297832
1938,praha 10,school,50.07276044936224,14.452759718564275
1942,praha 9,school,50.12281551569614,14.499370275636016
1946,praha 6,school,50.105861057995355,14.38826837235254
1952,praha 4,school,50.03944200000001,14.456866244503553
1953,praha 4,school,50.03944200000001,14.456866244503553
1977,praha 4,school,50.02375256116933,14.51415326992319
1983,praha 7,school,50.117380457152535,14.429848499999991
2005,praha 9,school,50.09907658728149,14.484492094090818
2009,praha 5,school,50.07046819594326,14.38211534067183
2020,praha 9,school,50.13471300360669,14.508092033845099
2034,praha 9,school,50.09020430474924,14.666655998730583
2065,praha 4,school,50.007370190951576,14.46766081242396
2069,praha 4,school,50.0165241107679,14.46990821622701
2080,praha 2,school,50.06992111296094,14.430817907842426
2089,praha 4,school,50.03339070133895,14.478179538836761
2092,praha 9,school,50.10277243297364,14.53518025494822
2093,praha 9,school,50.14972204884876,14.526468079779656
2097,praha 6,school,50.109325920624364,14.3938008405276
2104,praha 2,educatioanal center,50.071269425211995,14.437708466126228
2112,praha 4,school,50.03122083014023,14.48207726807686
2132,praha 5,school,50.03861869331753,14.343318493392228
2138,praha 8,school,50.12869753511451,14.467590720814648
2150,praha 9,school,50.09189016651289,14.513232361734994
2156,praha 8,educatioanal center,50.12341831833923,14.451959799584708
2157,praha 4,school,50.04349738386507,14.428987496941586
2160,praha 8,school,50.127292016100164,14.426827573576862
